chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:1.85
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:1.85
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:1.85
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:0.23
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.2
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
img_0_1,Sum Ting Wong
img_0_2,Sum Ting Wong
img_0_3,Sum Ting Wong
img_0_4,Sum Ting Wong
img_1_1,Sum Ting Wong
img_1_2,Sum Ting Wong
img_1_3,Sum Ting Wong
img_1_4,Sum Ting Wong
img_2_1,Sum Ting Wong
img_2_2,Sum Ting Wong
img_2_3,Sum Ting Wong
img_2_4,Sum Ting Wong
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
img_10_1,Sum Ting Wong
img_10_2,Sum Ting Wong
img_10_3,Sum Ting Wong
img_10_4,Sum Ting Wong
img_11_1,Sum Ting Wong
img_11_2,shiiiiit - ultra destroy
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
img_10_1,Sum Ting Wong
img_10_2,Sum Ting Wong
img_10_3,Sum Ting Wong
img_10_4,Sum Ting Wong
img_11_1,Sum Ting Wong
img_11_2,shiiiiit - ultra destroy
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
img_10_1,Sum Ting Wong
img_10_2,Sum Ting Wong
img_10_3,Sum Ting Wong
img_10_4,Sum Ting Wong
img_11_1,Sum Ting Wong
img_11_3,Sum Ting Wong
img_11_4,Sum Ting Wong
img_12_1,,0,False,,,,,,,,,12,1
img_12_1,,1,False,,,,,,,,,12,1
img_12_1,,2,True,979,183,978,149,34.0147027033899,4302.1795979247545,35.23535918383961,3038.831810065253,12,1
img_12_1,,3,False,,,,,,,,,12,1
img_12_1,,4,False,,,,,,,,,12,1
img_12_1,,5,True,930,377,924,347,30.59411708155671,3869.543928475293,35.23535918383961,2733.240887007072,12,1
img_12_1,,6,False,,,,,,,,,12,1
img_12_1,,7,False,,,,,,,,,12,1
img_12_1,,8,False,,,,,,,,,12,1
img_12_1,,9,True,746,640,743,600,40.11234224026316,5073.409046548485,35.23535918383961,3583.587445666189,12,1
img_12_1,,10,False,,,,,,,,,12,1
img_12_1,,11,False,,,,,,,,,12,1
img_12_1,,12,False,,,,,,,,,12,1
img_12_1,,13,False,,,,,,,,,12,1
img_12_1,,14,True,779,119,779,81,38.0,4806.24,35.23535918383961,3394.873381356096,12,1
img_12_2,shiiiiit - ultra destroy
chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku,cislo img,cislo chopu,size of everything je:2.15
img_12_1,Sum Ting Wong
img_12_3,Sum Ting Wong
img_12_4,Sum Ting Wong
img_13_3,Sum Ting Wong
img_18_1,shiiiiit - ultra destroy
